WP_CD;WP_TTL
NUWASTE-2004-3.2.1.1-1;Understanding and numerical modelling of the key processes for radionuclide migration through the geological environment for different repository host rocks
INCO;Specific measures in support of international co-operation
INCO-2002-A1.1;Reproductive health
INCO-2002-A2.1;Managing humid and semi-humid ecosystems
INCO-2002-A2.2;Reconciling multiple demands on costal zones
INCO-2002-B1.1;Comprehensive policy for integrated water planning
INCO-2002-B1.2;Improving the water consumption by users and uses and plant breeding for efficient water and nutrient use
INCO-2002-B1.3;Advanced water treatment, re-use and energy implications
INCO-2002-B2.1;Materials, artifacts, monuments and sites: new technologies and characterisation
INCO-2002-B2.2;Simulation-re-creation-comparative preservation methodology
INCO-2002-C.1.1;Integrated management of regional water resources planning and policy
INCO-2002-C.1.2;Industrial and municipal waste
INCO-2002-C.1.3;Renewable energy and hybrid systems
INCO-2002-C.2.1;Post-conflict and post-trauma
INCO-2003-A1.2;Healthcare systems and management
MOBILITY;Human resources and mobility
MOBILITY-2.3R;Marie Curie Incoming International Fellowships (IIF), Re-integration phase
NMP;Nanotechnologies and nanosciences, knowledge based multifunctional materials and new production processes and devices
NMP-2002-3.4.1.1-1;Expanding knowledge in in size-dependant phenomena
NMP-2002-3.4.1.1-2;Self-organisation and self-assembling
NMP-2002-3.4.1.1-3;Molecular and bio-molecular mechanisms and engines
NMP-2002-3.4.1.2-1;Interfaces between biological and non biological entities
NMP-2002-3.4.1.3-1;Engineering techniques for nanotubes and relative systems
NMP-2002-3.4.1.4-1;Handling and control instrumentation at the level of of single atoms or molecules and/or < 10 nm
NMP-2002-3.4.1.5-1;Roadmaps for nanotechnology
NMP-2002-3.4.2.1-1;Understanding materials phenomena
NMP-2002-3.4.2.2-1;Mastering chemistry and creating new processing pathways for multifunctional materials
NMP-2002-3.4.2.2-2;Surface and interface science and engineering
NMP-2002-3.4.2.3-1;New materials by design
NMP-2002-3.4.2.3-2;New knowledge-based higher performance materials for macro-scale applications
NMP-2002-3.4.3.1-1;New production technologies, based on nanotechnology and new materials
NMP-2002-3.4.3.1-2;New and user-friendly production equipment and technologies, and their incorporation into the factory of the future
NMP-2002-3.4.3.1-3;"The creation of ""knowledge communities"" in production technologies"
NMP-2002-3.4.3.1-4;Support to the development of new knowledge based added value products and services in traditional less RTD intensive industries
NMP-2002-3.4.3.2-1;"""Radical changes in the """"basic materials"""" industry (excluding steel) for cleaner, safer and more eco-efficient production"""
NMP-2002-3.4.3.2-2;Sustainable waste management and hazard reduction in production, storage and manufacturing
NMP-2002-3.4.3.3-2;"""Increasing the """"user awareness"""""""
NMP-2002-3.4.4.1;Systems, instruments and equipment for better diagnosis and/or surgery, including for remote operations
NMP-2002-3.4.4.2;Tissue engineering, new biomimetic and bio-hybrid systems
NMP-2002-3.4.4.3;New generation of sensors, actuators and systems for health, safety and security of people and environment
NMP-2003-3.4.1.1-1;Self-organisation and elf-assembling
NMP-2003-3.4.1.4-1;Characterisation and/or manipulation devices and techniques
NMP-2003-3.4.1.5-2;Ethical, legal, social aspects of research in nanotechnology
NMP-2003-3.4.3.1-1;New and user-friendly production technologies and their incorporation into the factory of the future
NMP-2003-3.4.5.1;Co-ordination of activities in the fileds of NMP in an enlarged Europe
POLICIES;Supporting policies and anticipating scientific and technological needs
SOCIETY;Science and Society
SUSTDEV;Sustainable development, global change and ecosystems
SUSTDEV-2002-3.1.1.1.2;High quality public transport
SUSTDEV-2002-3.1.2.1.5;Development of zero or near-zero emission propulsion
SUSTDEV-2002-3.1.2.1.7;Integration and validation of measurement and sensing technologies
SUSTDEV-2002-3.1.2.1.9;More effective organisation of urban transport
SUSTDEV-2002-3.2.2.2.3;Development of advanced, low-mass material structures and systems
SUSTDEV-2002-3.2.2.2.5;Strategies and processes for clean maintenance, dismantling and recycling of vehicles and vessels
SUSTDEV-2002-3.2.2.2.6;Design and manufacture of new construction concepts for road, rail and inter-modal infrastructures
SUSTDEV-2002-3.2.2.2.7;Design and manufacturing technologies to improve vehicle/vessel interfaces
SUSTDEV-2002-3.3.1.3.10;Maritime navigation and information services
SUSTDEV-2002-3.3.2.3.14;Development of vehicle and vessel concepts, characterised by interoperability and inter-connectivity
SUSTDEV-2002-3.3.2.3.15;Development of new inter-modal vehicle/vessel concepts
SUSTDEV-2002-3.4.2.4.11;Integrating assistance and decision support tools to facilitate driving, piloting and manoeuvring
SUSTDEV-2002-3.4.2.4.13;Developing integrated safety systems (preventive, active and passive) taking into account Human-Machine Interface (HMI)
SUSTDEV-2002-3.4.2.4.14;Designing user-friendly driver interfaces
SUSTDEV-2002-3.I.1.a;Assessment of the European carbon balance
SUSTDEV-2002-3.I.2.a;Integration of European atmospheric composition research
SUSTDEV-2002-3.I.5.a;Ozone-climate links
SUSTDEV-2002-3.II.2.1.a;"""Assessment of ecological impacts of global change on freshwater bodies, development of ecological indicators of ecosystem """"health"""" and related remediation strategies"""
SUSTDEV-2002-3.II.2.2.a;River-soil-groundwater system functioning
SUSTDEV-2002-3.II.3.1.a;Twinning European/third countries river basins
SUSTDEV-2002-3.II.3.3.a;Technologies for monitoring and mitigating the impact of water scarcity
SUSTDEV-2002-3.III.1.1;Network for European long term terrestrial and fresh-water biodiversity and ecosystem research
SUSTDEV-2002-3.III.1.2;Network to structure and integrate European research on marine biodiversity and ecosystems
SUSTDEV-2002-3.III.1.3;Developing genomics approaches
SUSTDEV-2002-3.III.1.4;Cost effective, reliable and efficient technologies for enabling progress in biodiversity and ecosystem science
SUSTDEV-2002-3.III.2.1;Generating models of socio-economic impacts on biodiversity and ecosystems.
SUSTDEV-2002-3.III.4.1;Assessing large-scale environmental risks.
SUSTDEV-2002-3.IV.1.a;Research on mechanisms of desertification and soil quality.
SUSTDEV-2002-3.IV.2.a;Integrated earthquake and landslide disaster management methodologies
SUSTDEV-2002-3.IV.2.b;Integrated flood risk management methodologies
SUSTDEV-2002-3.VIII.1.a;Harmonising and sharing of methods and data
SUSTDEV-2002-3.VIII.2.a;High level scientific validation of technologies
SUSTDEV-2002-3.VIII.2.b;Combined ecological, environmental and social indicators
SUSTDEV-2002-3-SSA.1.1;Actions such as the European Network for Research in Global Change (ENRICH)
SUSTDEV-2002-3-SSA.1.2;Consolidating knowledge on the role of wetlands in the water cycle.
SUSTDEV-2002-3-SSA.1.3;European contribution to international observation systems
SUSTDEV-2002-3-SSA.1.4;Capitalisation of results from the past research on sustainable agriculture
SUSTDEV-2003-1.2.9;Support to the strategic objectives of the programme
SUSTDEV-2004-3.II.2.2.b;Soil-groundwater protection and rehabilitation
SUSTDEV-2004-3.II.3.1.b;Methodologies of integrated water resource management and transboundary issues
SUSTDEV-2004-3.III.4.2;Develop model(s) for assessing and forecasting the impact of environmental pollution on fresh water and marine ecosystems and their biological diversity
SUSTDEV-2004-3.IV.2.c;Natural disasters
SUSTDEV-2004-3.VII.1.1.b;Methods for risk assessment of pharmaceuticals in the environment
SUSTDEV-2004-3.VII.2.1.a;Assessment of global change-driven factors linked to the risk of introducing or spreading emerging human diseases in Europe
FOOD-2002-T0;Realising ERA objectives - Promotion of SME participation - Stimulating international co-operation - Linking with Candidate Countries - Supporting policy development - Stimulating exploitation.
FOOD-2002-T1;Total food chain: Food from low input and organic production systems: Ensuring the safety and improving quality along the whole chain
FOOD-2002-T10;Functional genomics in relation to food, nutrition and health
FOOD-2002-T11;Lipid metabolism and the metabolic syndrome
FOOD-2002-T12;Health risks from heat treated foods and food products
FOOD-2002-T13;Food safety, risk assessment and communication
FOOD-2002-T18;Prevention and control of zoonoses including food borne diseases
FOOD-2002-T19;Prevention, control and management of prion diseases
FOOD-2002-T2;Total food chain: Quality seafood for improved consumer health and well-being
FOOD-2002-T26;Genomics of host-pathogen interactions in animals
FOOD-2002-T27;Improved crop protection systems based on biological control methods for safer low input production systems
FOOD-2002-T28;Antibiotic resistance in animals, plants and humans
FOOD-2002-T3;Total food chain: Pathogen free production systems
FOOD-2002-T39;New strategies to improve grain legumes for food and feed
FOOD-2002-T40;Alternatives to antimicrobials in feeds
FOOD-2002-T41;Human health implications of exposure to chemical residues in the environment
FOOD-2002-T42;Allergy and asthma
FOOD-2002-T43;Neurotoxic effects of environmental contaminants
FOOD-2002-T44;Effects of environmental exposure to complex chemical mixtures
FOOD-2002-T6;Influence of nutrition and lifestyle on healthy ageing aimed at preventing adult degenerative disease
FOOD-2003-T0;Realising ERA objectives - Promotion of SME participation - Stimulating international co-operation - Linking with Candidate Countries - Supporting policy development - Stimulating exploitation.
FOOD-2003-T5.3;Development of cost-effective tools for risk management and traceability systems for zoonotic agents and marine biotoxins in seafood
FOOD-2003-T6.5;Flavonoids in fruit and vegetables: their impact on food quality, nutrition and health
FOOD-2003-T6.6;Recycling and upgrading organic wastes from the food chain in environmentally friendly healthy food production
CITIZENS-2002-6.2;STREPs and Coordination Actions within the area of Issues connected with the resolution of conflicts and restoration of peace and justice
SOCIETY-WP2005-4.3.1.1;Integrative models in risk governance
SOCIETY-WP2005-4.3.2.1(a),(b);Ethics conferences and training workshops
NUCHORIZ-2003-3.5.3.2 ;Special training courses
NUCHORIZ-2003-3.5.1;Specific support actions
SOCIETY-WP2005-4.3.2.3(a),(b);Ethics research
SOCIETY-WP2005-4.3.4.1(a)i;Interchange of products
SOCIETY-WP2005-4.3.4.1(a)ii;Science co-productions
SOCIETY-WP2005-4.3.5.1(a);Empowerment of women and public debate
SOCIETY-WP2005-4.3.5.1(b);Women in science governance
SOCIETY-WP2005-4.3.5.1(c);Mobilising women for engineering and technology
SOCIETY-WP2005-4.3.5.2(b);Conference on gender and excellence
SOCIETY-WP2005-4.3.5.2(c);Deepening the knowledge base
SOCIETY-WP2005-4.3.5.3(a)i;Practical tools for gender mainstreaming
SOCIETY-WP2005-4.3.5.3(b);Mainstreaming strategic areas
1.1.2.-1.3;Persons with special needs, including the disabled and the elderly
IST-1999-1.3.1;Systems and services for independent living
IST-2001-1.2.1;Intelligent assistive systems for social inclusion
IST-2002-1.2.1;Systems for independent living
LSH-2005-1.1.1-1;A systems approach to understanding the regulation of gene transcription
LSH-2005-1.1.2-1;Structural genomics interdisciplinary initiative
LSH-2005-1.1.3-1;Functional genomics in Arabidopsis thaliana
LSH-2005-1.1.3-2;High throughput phenotyping tools and approaches for large scale functional genomics studies
LSH-2005-1.1.3-3;Population cohorts for molecular epidemiological studies in European and other populations
LSH-2005-1.1.5-1;Functional genomics of autosomal aneuploid syndromes
LSH-2005-1.1.5-2;The biological role of small regulatory RNAs
LSH-2005-1.1.0-1;Topics for CA in the area of Fundamental knowledge and basic tools for functional genomics in all organisms
LSH-2005-1.1.0-2;'Topics for Specific Support Action in the area of Fundamental knowledge and basic tools for functional genomics in all organisms
LSH-2005-1.1.0-3;Topic for STREPs dedicated to SMEs in the area of Fundamental knowledge and basic tools for functional genomics in all organisms
LSH-2005-1.2.1-1;Marker profiling as a new tool for predictive toxicology
LSH-2005-1.2.1-2;New tools to investigate ADME properties of drugs involving a carrier system
LSH-2005-1.2.1-3;Rational and accelerated development of new, safer, more effective drugs including pharmacogenomics approaches
LSH-2005-1.2.2-1;High throughput molecular diagnostics for hereditary diseases
LSH-2005-1.2.2-2;Development of innovative methods for diagnosis of nervous system disorders
LSH-2005-1.2.2-3;Nanoparticles-based diagnostics
LSH-2005-1.2.2-4;Development of new diagnostics
LSH-2005-1.2.3-1;Predictive in vitro testing strategies for human exposure to chemicals
LSH-2005-1.2.3-2;Workshop on business opportunities for in vitro pharmaceutical toxicology
LSH-2005-1.2.3-3;Forum for researchers and regulators to meet manufacturers of toxicology test methods
